"Position","Name","Type","Signal","Label"
"1","VBAT","Power","",""
"2","PC13","I/O","",""
"3","PC14-OSC32_IN (PC14)","I/O","",""
"4","PC15-OSC32_OUT (PC15)","I/O","",""
"5","PH0-OSC_IN (PH0)","I/O","",""
"6","PH1-OSC_OUT (PH1)","I/O","",""
"7","NRST","Reset","",""
"8","PC0","I/O","ADC1_IN1","JS_X"
"9","PC1","I/O","ADC1_IN2","JS_Y"
"10","PC2","I/O","",""
"11","PC3","I/O","",""
"12","VSSA/VREF-","Power","",""
"13","VDDA/VREF+","Power","",""
"14","PA0","I/O","ADC1_IN5","Pot_Val"
"15","PA1","I/O","",""
"16","PA2","I/O","",""
"17","PA3","I/O","",""
"18","VSS","Power","",""
"19","VDD","Power","",""
"20","PA4","I/O","",""
"21","PA5","I/O","",""
"22","PA6","Output","GPIO_Output","Manual_Mode_LED"
"23","PA7","Output","GPIO_Output","SD_Mode_LED"
"24","PC4","I/O","",""
"25","PC5","Output","GPIO_Output","LCD_D5"
"26","PB0","I/O","",""
"27","PB1","Output","GPIO_Output","LCD_EN"
"28","PB2","Output","GPIO_Output","LCD_D0"
"29","PB10","I/O","",""
"30","PB11","Output","GPIO_Output","LCD_D1"
"31","VSS","Power","",""
"32","VDD","Power","",""
"33","PB12","Output","GPIO_Output","LCD_D2"
"34","PB13","I/O","I2C2_SCL","OLED_SCL"
"35","PB14","I/O","I2C2_SDA","OLED_SDA"
"36","PB15","Output","GPIO_Output","LCD_RS"
"37","PC6","Output","GPIO_Output","LCD_D6"
"38","PC7","Input","GPIO_Input","Manual_Mode_Button"
"39","PC8","Output","GPIO_Output","LCD_D7"
"40","PC9","I/O","",""
"41","PA8","I/O","",""
"42","PA9","I/O","",""
"43","PA10","I/O","",""
"44","PA11","Output","GPIO_Output","LCD_D3"
"45","PA12","Output","GPIO_Output","LCD_D4"
"46","PA13 (JTMS-SWDIO)","I/O","",""
"47","VSS","Power","",""
"48","VDDUSB","Power","",""
"49","PA14 (JTCK-SWCLK)","I/O","",""
"50","PA15 (JTDI)","I/O","",""
"51","PC10","I/O","",""
"52","PC11","I/O","",""
"53","PC12","I/O","UART5_TX","Bluetooth_TX"
"54","PD2","I/O","UART5_RX","Bluetooth_RX"
"55","PB3 (JTDO-TRACESWO)","I/O","",""
"56","PB4 (NJTRST)","I/O","",""
"57","PB5","I/O","",""
"58","PB6","Output","GPIO_Output","SD_Button"
"59","PB7","I/O","",""
"60","BOOT0","Boot","",""
"61","PB8","Output","GPIO_Output","Bluetooth_State"
"62","PB9","Output","GPIO_Output","Bluetooth_Enable"
"63","VSS","Power","",""
"64","VDD","Power","",""
